Date,Have you taken this survey before?,Donation Contents,Other Items,Accessories,Bags,Books,Cups,Dresses,Electronics,Hats,Household Goods,Jackets,Jewelry,Long-Sleeves,Pants,School Supplies,Shoes,Shorts,Skirts,Sweaters,Shirts,Tank Tops,Water Bottles,Other Items (#),Total Items,Condition (New/Like-New),Condition (Moderately-Used),Donation Reason,Donation Reason (Other),Gender,Ethnicity,Race,Affliation,School Year,College,Faculty Role,Faculty Role (Other),Outhreach Method,Outreaach (Other),Visit Frequency,Will Repeat Donation
2026-01-30 13:29:47,No,"Bags,Electronics,T-shirts",,,1.00,,,,2.00,,,,,,,,,,,,3.00,,,,6.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Non-binary/third gender,Not Hispanic or Latino,Black,UC Davis student,Third Year,Agriculture and Environmental Sciences,,,Social media,,About once a week,Yes
2026-02-01 18:11:53,No,"Dresses,Jackets,Long-sleeves,Pants,Shorts,Skirts,Sweaters,T-shirts",,,,,,2.00,,,,3.00,,2.00,7.00,,,3.00,3.00,4.00,7.00,,,,31.00,,,"Support people in need,Support environmental sustainability",,Female,Hispanic or Latino,Black,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,Less than once a quarter,Yes
2026-02-02 14:12:50,No,Dresses,,,,,,4.00,,,,,,,,,,,,,,,,,4.00,,,"Support people in need,Support environmental sustainability",,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Agriculture and Environmental Sciences,,,Walking by,,Less than once a quarter,Yes
2026-02-02 14:45:18,No,"Bags,Dresses,Long-sleeves,Pants,Sweaters",,,2.00,,,2.00,,,,,,3.00,3.00,,,,,2.00,,,,,12.00,,,"Support people in need,Declutter home,Charity",,Female,Prefer not to answer,Asian,UC Davis staff,,,Admin and Professional,,Social media,,Less than once a quarter,Yes
2026-02-03 15:39:19,Yes,"T-shirts,Other",Shirts and soap,,,,,,,,,,,,,,,,,,3.00,,,,3.00,,,,,,,,,,,,,,,,
2026-02-04 15:15:22,No,Bags,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,,Declutter home,,Female,Not Hispanic or Latino,White,UC Davis student,Second Year,Letters and Sciences,,,Walking by,,About once per month,Yes
2026-02-04 15:40:02,Yes,"Jackets,Shoes",,,,,,,,,,1.00,,,,,4.00,,,,,,,,5.00,A few items,,"Support people in need,Support environmental sustainability,Other:",they dont fit me so theyve just been sitting in my closet,,,,,,,,,,,,Maybe
2026-02-05 13:50:49,No,"Long-sleeves,Pants",,,,,,,,,,,,6.00,3.00,,,,,,,,,,9.00,A few items,A few items,"Support people in need,Declutter home,Charity",,Female,Prefer not to answer,Prefer not to answer,UC Davis student,Third Year,Engineering,,,Walking by,,Less than once a quarter,Maybe
2026-02-05 14:05:47,No,"Dresses,Jackets,Long-sleeves,Pants,Skirts,Sweaters",,,,,,4.00,,,,1.00,,4.00,1.00,,,,2.00,1.00,,,,,13.00,A few items,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Hispanic or Latino,Asian,UC Davis student,Second Year,Engineering,,,Walking by,,About once per quarter,Yes
2026-02-06 17:08:40,No,"Dresses,Pants,T-shirts",,,,,,1.00,,,,,,,1.00,,,,,,2.00,,,,4.00,A good amount,A few items,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,White,Community member,,,,,Walking by,,Less than once a quarter,Yes
